chunk,token_idx,S,L,M_surface,M_tags
mega05,1,no,no,no,
mega05,2,ced,ced,ced,
mega05,3,kulam,kula,kula,SNNe
mega05,4,na,na,na,
mega05,5,ca,ca,ca,
mega05,6,ācāraḥ,ācāra,ācāra,SNM
mega05,7,na,na,na,
mega05,8,dharmaḥ,dharma,dharma,SNM
mega05,9,arthaḥ,artha,artha,SNM
mega05,10,kutas,kutas,kutas,
mega05,11,sukham,sukha,sukha,SNNe
mega05,12,yatra,yatra,yatra,
mega05,13,pāpa,pāpa,pāpa,Cp
mega05,14,sahāyaḥ,sahāya,sahāya,SNM
mega05,15,ayam,idam,idam,SNM
mega05,16,pāpaḥ,pāpa,pāpa,SNM
mega05,17,rājyam,rājya,rājya,SANe
mega05,18,bubhūṣate,bubhūṣ,bubhūṣ,SPr3In
mega05,19,duryodhanaḥ,duryodhana,duryodhana,SNM
mega05,20,guru,guru,guru,Cp
mega05,21,dveṣī,dveṣin,dveṣin,SNM
mega05,22,tyakta,tyaj,tyaj,PaCp
mega05,23,ācāra,ācāra,ācāra,Cp
mega05,24,suhṛd,suhṛd,suhṛd,Cp
mega05,25,janaḥ,jana,jana,SNM
mega05,26,artha,artha,artha,Cp
mega05,27,lubdhaḥ,lubh,lubh,SNPaM
mega05,28,abhimānī,abhimānin,abhimānin,SNM
mega05,29,ca,ca,ca,
mega05,30,nīcaḥ,nīca,nīca,SNM
mega05,31,prakṛti,prakṛti,prakṛti,Cp
mega05,32,nirghṛṇaḥ,nirghṛṇa,nirghṛṇa,SNM
mega05,33,na,na,na,
mega05,34,iyam,idam,idam,SNF
mega05,35,asti,as,as,SPr3In
mega05,36,mahī,mahī,mahī,SNF
mega05,37,kṛtsnā,kṛtsna,kṛtsna,SNF
mega05,38,yatra,yatra,yatra,
mega05,39,duryodhanaḥ,duryodhana,duryodhana,SNM
mega05,40,nṛpaḥ,nṛpa,nṛpa,SNM
mega05,41,sādhu,sādhu,sādhu,SANe
mega05,42,gacchāmahe,gam,gam,PPr1In
mega05,43,sarve,sarva,sarva,PNM
mega05,44,yatra,yatra,yatra,
mega05,45,gacchanti,gam,gam,PPr3In
mega05,46,pāṇḍavāḥ,pāṇḍava,pāṇḍava,PNM
mega05,47,sa,sa,sa,
mega05,48,anukrośāḥ,anukrośa,anukrośa,PNM
mega05,49,mahātmānaḥ,mahātman,mahātman,PNM
mega05,50,vijita,viji,viji,PaCp
mega05,51,indriya,indriya,indriya,Cp
mega05,52,śatravaḥ,śatru,śatru,PNM
mega05,53,hrīmantaḥ,hrīmat,hrīmat,PNM
mega05,54,kīrtimantaḥ,kīrtimat,kīrtimat,PNM
mega05,55,ca,ca,ca,
mega05,56,dharma,dharma,dharma,Cp
mega05,57,ācāra,ācāra,ācāra,Cp
mega05,58,parāyaṇāḥ,parāyaṇa,parāyaṇa,PNM
