chunk,token_idx,S,L,M_surface,M_tags
mega11,1,yuṣmābhiḥ,tvad,tvad,PI
mega11,2,sahitaiḥ,sahita,sahita,PIM
mega11,3,sarvaiḥ,sarva,sarva,PIM
mega11,4,śoka,śoka,śoka,Cp
mega11,5,saṃtāpa,saṃtāpa,saṃtāpa,Cp
mega11,6,vihvalāḥ,vihvala,vihvala,PNF
mega11,7,nivartata,nivṛt,nivṛt,PPr2Im
mega11,8,āgatāḥ,āgam,āgam,PNPaF
mega11,9,dūram,dūram,dūram,
mega11,10,samāgamana,samāgamana,samāgamana,Cp
mega11,11,śāpitāḥ,śāpay,śāpay,PNPaF
mega11,12,sva,sva,sva,Cp
mega11,13,jane,jana,jana,SLM
mega11,14,nyāsa,nyāsa,nyāsa,Cp
mega11,15,bhūte,bhū,bhū,SLPaM
mega11,16,me,mad,mad,SG
mega11,17,kāryā,kṛ,kṛ,SNFGd
mega11,18,sneha,sneha,sneha,Cp
mega11,19,anvitā,anvita,anvita,SNF
mega11,20,matiḥ,mati,mati,SNF
mega11,21,etat,etad,etad,SNNe
mega11,22,hi,hi,hi,
mega11,23,mama,mad,mad,SG
mega11,24,kāryāṇām,kārya,kārya,PGNe
mega11,25,paramam,parama,parama,SNNe
mega11,26,hṛdi,hṛd,hṛd,SLNe
mega11,27,saṃsthitam,saṃsthā,saṃsthā,SNPaNe
mega11,28,su,su,su,
mega11,29,kṛtā,kṛ,kṛ,SNPaF
mega11,30,anena,idam,idam,SIM
mega11,31,me,mad,mad,SG
mega11,32,tuṣṭiḥ,tuṣṭi,tuṣṭi,SNF
mega11,33,satkāraḥ,satkāra,satkāra,SNM
mega11,34,ca,ca,ca,
mega11,35,bhaviṣyati,bhū,bhū,SFu3In
mega11,36,vaiśaṃpāyanaḥ,vaiśampāyana,vaiśampāyana,SNM
mega11,37,uvāca,vac,vac,SPs3In
mega11,38,tathā,tathā,tathā,
mega11,39,anumantritāḥ,anumantray,anumantray,PNPaF
mega11,40,tena,tad,tad,SIM
mega11,41,dharmarājena,dharmarāja,dharmarāja,SIM
mega11,42,tāḥ,tad,tad,PNF
mega11,43,prajāḥ,prajā,prajā,PNF
mega11,44,cakruḥ,kṛ,kṛ,PPs3In
mega11,45,ārta,ārta,ārta,Cp
mega11,46,svaram,svara,svara,SAM
mega11,47,ghoram,ghora,ghora,SAM
mega11,48,hā,hā,hā,
mega11,49,rājan,rājan,rājan,SVM
mega11,50,iti,iti,iti,
mega11,51,duḥkhitāḥ,duḥkhita,duḥkhita,PNF
