chunk,token_idx,S,L,M_surface,M_tags
mega12,1,guṇān,guṇa,guṇa,PAM
mega12,2,pārthasya,pārtha,pārtha,SGM
mega12,3,saṃsmṛtya,saṃsmṛ,saṃsmṛ,Co
mega12,4,duḥkha,duḥkha,duḥkha,Cp
mega12,5,ārtāḥ,ārta,ārta,PNM
mega12,6,parama,parama,parama,Cp
mega12,7,āturāḥ,ātura,ātura,PNM
mega12,8,akāmāḥ,akāma,akāma,PNM
mega12,9,saṃnyavartanta,saṃnivṛt,saṃnivṛt,P3ImIn
mega12,10,samāgamya,samāgam,samāgam,Co
mega12,11,atha,atha,atha,
mega12,12,pāṇḍavān,pāṇḍava,pāṇḍava,PAM
mega12,13,nivṛtteṣu,nivṛt,nivṛt,PLPaM
mega12,14,tu,tu,tu,
mega12,15,paureṣu,paura,paura,PLM
mega12,16,rathān,ratha,ratha,PAM
mega12,17,āsthāya,āsthā,āsthā,Co
mega12,18,pāṇḍavāḥ,pāṇḍava,pāṇḍava,PNM
mega12,19,prajagmuḥ,pragam,pragam,PPs3In
mega12,20,jāhnavī,jāhnavī,jāhnavī,Cp
mega12,21,tīre,tīra,tīra,SLNe
mega12,22,pramāṇa,pramāṇa,pramāṇa,Cp
mega12,23,ākhyam,ākhyā,ākhyā,SAM
mega12,24,mahā,mahat,mahat,Cp
mega12,25,vaṭam,vaṭa,vaṭa,SAM
mega12,26,tam,tad,tad,SAM
mega12,27,te,tad,tad,PNM
mega12,28,divasa,divasa,divasa,Cp
mega12,29,śeṣeṇa,śeṣa,śeṣa,SIM
mega12,30,vaṭam,vaṭa,vaṭa,SAM
mega12,31,gatvā,gam,gam,Co
mega12,32,tu,tu,tu,
mega12,33,pāṇḍavāḥ,pāṇḍava,pāṇḍava,PNM
mega12,34,ūṣuḥ,vas,vas,PPs3In
mega12,35,tām,tad,tad,SAF
mega12,36,rajanīm,rajanī,rajanī,SAF
mega12,37,vīrāḥ,vīra,vīra,PNM
mega12,38,saṃspṛśya,saṃspṛś,saṃspṛś,Co
mega12,39,salilam,salila,salila,SANe
mega12,40,śuci,śuci,śuci,SANe
mega12,41,udakena,udaka,udaka,SINe
mega12,42,eva,eva,eva,
mega12,43,tām,tad,tad,SAF
mega12,44,rātrim,rātri,rātri,SAF
mega12,45,ūṣuḥ,vas,vas,PPs3In
mega12,46,te,tad,tad,PNM
mega12,47,duḥkha,duḥkha,duḥkha,Cp
mega12,48,karśitāḥ,karśay,karśay,PNPaM
mega12,49,anujagmuḥ,anugam,anugam,PPs3In
mega12,50,ca,ca,ca,
mega12,51,tatra,tatra,tatra,
mega12,52,etān,etad,etad,PAM
mega12,53,snehāt,sneha,sneha,SBM
mega12,54,ke,kaścit,kaścit,PNM
mega12,55,cid,cit,cit, 
mega12,56,dvijātayaḥ,dvijāti,dvijāti,PNM
