chunk,token_idx,S,L,M_surface,M_tags
mega10,1,yudhiṣṭhiraḥ,yudhiṣṭhira,yudhiṣṭhira,SNM
mega10,2,uvāca,vac,vac,SPs3In
mega10,3,dhanyāḥ,dhanya,dhanya,PNM
mega10,4,vayam,mad,mad,PN
mega10,5,yat,yat,yat,
mega10,6,asmākam,mad,mad,PG
mega10,7,sneha,sneha,sneha,Cp
mega10,8,kāruṇya,kāruṇya,kāruṇya,Cp
mega10,9,yantritāḥ,yantray,yantray,PNPaM
mega10,10,asataḥ,asat,asat,PAM
mega10,11,api,api,api,
mega10,12,guṇān,guṇa,guṇa,PAM
mega10,13,āhuḥ,ah,ah,PPs3In
mega10,14,brāhmaṇa,brāhmaṇa,brāhmaṇa,Cp
mega10,15,pramukhāḥ,pramukha,pramukha,PNF
mega10,16,prajāḥ,prajā,prajā,PNF
mega10,17,tat,tad,tad,SANe
mega10,18,aham,mad,mad,SN
mega10,19,bhrātṛ,bhrātṛ,bhrātṛ,Cp
mega10,20,sahitaḥ,sahita,sahita,SNM
mega10,21,sarvān,sarva,sarva,PAM
mega10,22,vijñāpayāmi,vijñāpay,vijñāpay,SPr1In
mega10,23,vaḥ,tvad,tvad,PA
mega10,24,na,na,na,
mega10,25,anyathā,anyathā,anyathā,
mega10,26,tat,tad,tad,SNNe
mega10,27,hi,hi,hi,
mega10,28,kartavyam,kṛ,kṛ,SNNeGd
mega10,29,asmad,mad,mad,Cp
mega10,30,sneha,sneha,sneha,Cp
mega10,31,anukampayā,anukampā,anukampā,SIF
mega10,32,bhīṣmaḥ,bhīṣma,bhīṣma,SNM
mega10,33,pitāmahaḥ,pitāmaha,pitāmaha,SNM
mega10,34,rājā,rājan,rājan,SNM
mega10,35,viduraḥ,vidura,vidura,SNM
mega10,36,jananī,jananī,jananī,SNF
mega10,37,ca,ca,ca,
mega10,38,me,mad,mad,SG
mega10,39,suhṛd,suhṛd,suhṛd,Cp
mega10,40,janaḥ,jana,jana,SNM
mega10,41,ca,ca,ca,
mega10,42,prāyas,prāyas,prāyas,
mega10,43,me,mad,mad,SG
mega10,44,nagare,nagara,nagara,SLNe
mega10,45,nāgasāhvaye,nāgasāhvaya,nāgasāhvaya,SLNe
mega10,46,te,tad,tad,PNM
mega10,47,tu,tu,tu,
mega10,48,asmad,mad,mad,Cp
mega10,49,hita,hita,hita,Cp
mega10,50,kāma,kāma,kāma,Cp
mega10,51,artham,artha,artha,SAM
mega10,52,pālanīyāḥ,pālay,pālay,PNMGd
mega10,53,prayatnataḥ,prayatna,prayatna,SBM
