chunk,token_idx,S,L,M_surface,M_tags
mega08,1,tasmāt,tasmāt,tasmāt,
mega08,2,prājñaiḥ,prājña,prājña,PIM
mega08,3,ca,ca,ca,
mega08,4,vṛddhaiḥ,vṛddha,vṛddha,PIM
mega08,5,ca,ca,ca,
mega08,6,su,su,su,
mega08,7,svabhāvaiḥ,svabhāva,svabhāva,PIM
mega08,8,tapasvibhiḥ,tapasvin,tapasvin,PIM
mega08,9,sadbhiḥ,sat,sat,PIM
mega08,10,ca,ca,ca,
mega08,11,saha,saha,saha,
mega08,12,saṃsargaḥ,saṃsarga,saṃsarga,SNM
mega08,13,kāryaḥ,kṛ,kṛ,SNMGd
mega08,14,śama,śama,śama,Cp
mega08,15,parāyaṇaiḥ,parāyaṇa,parāyaṇa,PIM
mega08,16,yeṣām,yad,yad,PGM
mega08,17,trīṇi,tri,tri,PNNe
mega08,18,avadātāni,avadāta,avadāta,PNNe
mega08,19,yoniḥ,yoni,yoni,SNF
mega08,20,vidyā,vidyā,vidyā,SNF
mega08,21,ca,ca,ca,
mega08,22,karma,karman,karman,SNNe
mega08,23,ca,ca,ca,
mega08,24,tān,tad,tad,PAM
mega08,25,sevet,sev,sev,SPr3O
mega08,26,taiḥ,tad,tad,PIM
mega08,27,samāsyā,samās,samāsyā,SNF
mega08,28,hi,hi,hi,
mega08,29,śāstrebhyaḥ,śāstra,śāstra,PBNe
mega08,30,api,api,api,
mega08,31,garīyasī,garīyas,garīyas,SNF
mega08,32,nirārambhāḥ,nirārambha,nirārambha,PNM
mega08,33,hi,hi,hi,
mega08,34,api,api,api,
mega08,35,vayam,mad,mad,PN
mega08,36,puṇya,puṇya,puṇya,Cp
mega08,37,śīleṣu,śīla,śīla,PLM
mega08,38,sādhuṣu,sādhu,sādhu,PLM
mega08,39,puṇyam,puṇya,puṇya,SANe
mega08,40,eva,eva,eva,
mega08,41,āpnuyāma,āp,āp,PPr1O
mega08,42,iha,iha,iha,
mega08,43,pāpam,pāpa,pāpa,SANe
mega08,44,pāpa,pāpa,pāpa,Cp
mega08,45,upasevanāt,upasevana,upasevana,SBNe
mega08,46,asatām,asat,asat,PGM
mega08,47,darśanāt,darśana,darśana,SBNe
mega08,48,sparśāt,sparśa,sparśa,SBM
mega08,49,saṃjalpana,saṃjalpana,saṃjalpana,Cp
mega08,50,sahāsanāt,sahāsana,sahāsana,SBNe
mega08,51,dharma,dharma,dharma,Cp
mega08,52,ācārāḥ,ācāra,ācāra,PNM
mega08,53,prahīyante,prahā,prahā,PPr3InPv
mega08,54,na,na,na,
mega08,55,ca,ca,ca,
mega08,56,sidhyanti,sidh,sidh,PPr3In
mega08,57,mānavāḥ,mānava,mānava,PNM
