chunk,token_idx,S,L,M_surface,M_tags
mega04,1,dadṛśuḥ,dṛś,dṛś,PPs3In
mega04,2,jāhnavī,jāhnavī,jāhnavī,Cp
mega04,3,tīre,tīra,tīra,SLNe
mega04,4,pramāṇa,pramāṇa,pramāṇa,Cp
mega04,5,ākhyam,ākhyā,ākhyā,SAM
mega04,6,mahā,mahat,mahat,Cp
mega04,7,vaṭam,vaṭa,vaṭa,SAM
mega04,8,vrajataḥ,vraj,vraj,PAPaPrM
mega04,9,tān,tad,tad,PAM
mega04,10,viditvā,vid,vid,Co
mega04,11,tu,tu,tu,
mega04,12,paurāḥ,paura,paura,PNM
mega04,13,śoka,śoka,śoka,Cp
mega04,14,abhipīḍitāḥ,abhipīḍay,abhipīḍay,PNPaM
mega04,15,garhayantaḥ,garhay,garhay,PNPaPrM
mega04,16,asakṛt,asakṛt,asakṛt,
mega04,17,bhīṣma,bhīṣma,bhīṣma,Cp
mega04,18,vidura,vidura,vidura,Cp
mega04,19,droṇa,droṇa,droṇa,Cp
mega04,20,gautamān,gautama,gautama,PAM
mega04,21,ūcuḥ,vac,vac,PPs3In
mega04,22,vigata,vigam,vigam,PaCp
mega04,23,saṃtrāsāḥ,saṃtrāsa,saṃtrāsa,PNM
mega04,24,samāgamya,samāgam,samāgam,Co
mega04,25,parasparam,paraspara,paraspara,SAM
mega04,26,na,na,na,
mega04,27,idam,idam,idam,SNNe
mega04,28,asti,as,as,SPr3In
mega04,29,kulam,kula,kula,SNNe
mega04,30,sarvam,sarva,sarva,SNNe
mega04,31,na,na,na,
mega04,32,vayam,mad,mad,PN
mega04,33,na,na,na,
mega04,34,ca,ca,ca,
mega04,35,naḥ,mad,no,
mega04,36,gṛhāḥ,gṛha,gṛha,PNM
mega04,37,yatra,yatra,yatra,
mega04,38,duryodhanaḥ,duryodhana,duryodhana,SNM
mega04,39,pāpaḥ,pāpa,pāpa,SNM
mega04,40,saubaleyena,saubaleya,saubaleya,SIM
mega04,41,pālitaḥ,pālay,pālay,SNPaM
mega04,42,karṇa,karṇa,karṇa,Cp
mega04,43,duḥśāsanābhyām,duḥśāsana,duḥśāsana,DuIM
mega04,44,ca,ca,ca,
mega04,45,rājyam,rājya,rājya,SANe
mega04,46,etat,etad,etad,SANe
mega04,47,cikīrṣati,cikīrṣ,cikīrṣ,SPr3In
