chunk,token_idx,S,L,M_surface,M_tags
mega03,1,vaiśaṃpāyanaḥ,vaiśampāyana,vaiśampāyana,SNM
mega03,2,uvāca,vac,vac,SPs3In
mega03,3,evam,evam,evam,
mega03,4,dyūta,dyūta,dyūta,Cp
mega03,5,jitāḥ,ji,ji,PNPaM
mega03,6,pārthāḥ,pārtha,pārtha,PNM
mega03,7,kopitāḥ,kopay,kopay,PNPaM
mega03,8,ca,ca,ca,
mega03,9,durātmabhiḥ,durātman,durātman,PIM
mega03,10,dhārtarāṣṭraiḥ,dhārtarāṣṭra,dhārtarāṣṭra,PIM
mega03,11,saha,saha,saha,
mega03,12,amātyaiḥ,amātya,amātya,PIM
mega03,13,niryayuḥ,niryā,niryā,PPs3In
mega03,14,gajasāhvayāt,gajasāhvaya,gajasāhvaya,SBNe
mega03,15,vardhamāna,vardhamāna,vardhamāna,Cp
mega03,16,pura,pura,pura,Cp
mega03,17,dvāreṇa,dvāra,dvāra,SINe
mega03,18,abhiniṣkramya,abhiniṣkram,abhiniṣkram,Co
mega03,19,te,tad,tad,PNM
mega03,20,tadā,tadā,tadā,
mega03,21,udak,udañc,udañc,Cp
mega03,22,mukhāḥ,mukha,mukha,PNM
mega03,23,śastrabhṛtaḥ,śastrabhṛt,śastrabhṛt,PNM
mega03,24,prayayuḥ,prayā,prayā,PPs3In
mega03,25,saha,saha,saha,
mega03,26,kṛṣṇayā,kṛṣṇā,kṛṣṇā,SIF
mega03,27,indrasena,indrasena,indrasena,Cp
mega03,28,ādayaḥ,ādi,ādi,PNM
mega03,29,ca,ca,ca,
mega03,30,enān,enad,enad,PAM
mega03,31,bhṛtyāḥ,bhṛtya,bhṛtya,PNM
mega03,32,pari,pari,pari,
mega03,33,caturdaśa,caturdaśan,caturdaśan,SNNe
mega03,34,rathaiḥ,ratha,ratha,PIM
mega03,35,anuyayuḥ,anuyā,anuyā,PPs3In
mega03,36,śīghraiḥ,śīghra,śīghra,PIM
mega03,37,striyaḥ,strī,strī,PAF
mega03,38,ādāya,ādā,ādā,Co
mega03,39,sarvaśas,sarvaśas,sarvaśas,
mega03,40,tatas,tatas,tatas,
mega03,41,te,tad,tad,PNM
mega03,42,puruṣa,puruṣa,puruṣa,Cp
mega03,43,vyāghrāḥ,vyāghra,vyāghra,PNM
mega03,44,rathān,ratha,ratha,PAM
mega03,45,āsthāya,āsthā,āsthā,Co
mega03,46,bhārataiḥ,bhārata,bhārata,SVM
