chunk,token_idx,S,L,M_surface,M_tags
mega06,1,evam,evam,evam,
mega06,2,uktvā,vac,vac,Co
mega06,3,anujagmuḥ,anugam,anugam,PPs3In
mega06,4,tān,tad,tad,PAM
mega06,5,pāṇḍavān,pāṇḍava,pāṇḍava,PAM
mega06,6,te,tad,tad,PNM
mega06,7,sametya,same,same,Co
mega06,8,ca,ca,ca,
mega06,9,ūcuḥ,vac,ūc,PPs3In
mega06,10,prāñjalayaḥ,prāñjali,prāñjali,PNM
mega06,11,sarve,sarva,sarva,PNM
mega06,12,tān,tad,tad,PAM
mega06,13,kuntīm,kuntī,kuntī,Cp
mega06,14,ādrinandanān,mādrinandana,mādrinandana,PAM
mega06,15,kva,kva,kva,
mega06,16,gamiṣyatha,gam,gam,PFu2In
mega06,17,bhadram,bhadra,bhadra,SNNe
mega06,18,vaḥ,tvad,tvad,PG
mega06,19,tyaktvā,tyaj,tyaj,Co
mega06,20,asmān,mad,mad,PA
mega06,21,duḥkha,duḥkha,duḥkha,Cp
mega06,22,bhāginaḥ,bhāgin,bhāgin,PAM
mega06,23,vayam,mad,vayad,PN
mega06,24,api,api,api,
mega06,25,anuyāsyāmaḥ,anuyā,anuyā,PFu1In
mega06,26,yatra,yatra,yatra,
mega06,27,yūyam,tvad,tvad,PN
mega06,28,gamiṣyatha,gam,gam,PFu2In
mega06,29,adharmeṇa,adharma,adharma,SIM
mega06,30,jitān,ji,ji,PAPaM
mega06,31,śrutvā,śru,śru,Co
mega06,32,yuṣmān,tvad,tvad,PA
mega06,33,tyakta,tyaj,tyaj,PaCp
mega06,34,ghṛṇaiḥ,ghṛṇā,ghṛṇā,PIM
mega06,35,paraiḥ,para,para,PIM
mega06,36,udvignāḥ,udvij,udvij,PNPaM
mega06,37,sma,sma,sma,
mega06,38,bhṛśam,bhṛśam,bhṛśam,
mega06,39,sarve,sarva,sarva,PNM
mega06,40,na,na,na,
mega06,41,asmān,mad,mad,PA
mega06,42,hātum,hā,hā,In
mega06,43,iha,iha,iha,
mega06,44,arhatha,arh,arh,PPr2In
mega06,45,bhakta,bhakta,bhakta,Cp
mega06,46,anuraktāḥ,anurañj,anurañj,PNPaM
mega06,47,suhṛdaḥ,suhṛd,suhṛd,PAM
mega06,48,sadā,sadā,sadā,
mega06,49,priya,priya,priya,Cp
mega06,50,hite,hita,hita,SLNe
mega06,51,ratān,ram,ram,PAPaM
mega06,52,ku,ku,ku,
mega06,53,rāja,rājan,rājan,Cp
mega06,54,adhiṣṭhite,adhiṣṭhā,adhiṣṭhā,SLPaNe
mega06,55,rājye,rājya,rājya,SLNe
mega06,56,na,na,na,
mega06,57,vinaśyema,vinaś,vinaś,PPr1O
mega06,58,sarvaśas,sarvaśas,sarvaśas,
