chunk,token_idx,S,L,M_surface,M_tags
mega07,1,śrūyatām,śru,śru,SPr3ImPv
mega07,2,ca,ca,ca,
mega07,3,abhidhāsyāmaḥ,abhidhā,abhidhā,PFu1In
mega07,4,guṇa,guṇa,guṇa,Cp
mega07,5,doṣān,doṣa,doṣa,PAM
mega07,6,nara,nara,nara,Cp
mega07,7,ṛṣabhāḥ,ṛṣabha,ṛṣabha,PVM
mega07,8,śubha,śubha,śubha,Cp
mega07,9,aśubha,aśubha,aśubha,Cp
mega07,10,adhivāsena,adhivāsa,adhivāsa,SIM
mega07,11,saṃsargam,saṃsarga,saṃsarga,SAM
mega07,12,kurute,kṛ,kṛ,SPr3In
mega07,13,yathā,yathā,yathā,
mega07,14,vastram,vastra,vastra,SANe
mega07,15,āpaḥ,ap,ap,PAF
mega07,16,tilān,tila,tila,PAM
mega07,17,bhūmim,bhūmi,bhūmi,SAF
mega07,18,gandhaḥ,gandha,gandha,SNM
mega07,19,vāsayate,vāsay,vāsay,SPr3In
mega07,20,yathā,yathā,yathā,
mega07,21,puṣpāṇām,puṣpa,puṣpa,PGNe
mega07,22,adhivāsena,adhivāsa,adhivāsa,SIM
mega07,23,tathā,tathā,tathā,
mega07,24,saṃsarga,saṃsarga,saṃsarga,Cp
mega07,25,jāḥ,ja,ja,PNM
mega07,26,guṇāḥ,guṇa,guṇa,PNM
mega07,27,moha,moha,moha,Cp
mega07,28,jālasya,jāla,jāla,SGNe
mega07,29,yoniḥ,yoni,yoni,SNF
mega07,30,hi,hi,hi,
mega07,31,mūḍhaiḥ,muh,muh,PIPaM
mega07,32,eva,eva,eva,
mega07,33,samāgamaḥ,samāgama,samāgama,SNM
mega07,34,ahani,ahar,ahar,SLNe
mega07,35,ahani,ahar,ahar,SLNe
mega07,36,dharmasya,dharma,dharma,SGM
mega07,37,yoniḥ,yoni,yoni,SNF
mega07,38,sādhu,sādhu,sādhu,Cp
mega07,39,samāgamaḥ,samāgama,samāgama,SNM
