chunk,token_idx,S,L,M_surface,M_tags
mega09,1,buddhiḥ,buddhi,buddhi,SNF
mega09,2,ca,ca,ca,
mega09,3,hīyate,hā,hā,SPr3InPv
mega09,4,puṃsām,puṃs,puṃs,PGM
mega09,5,nīcaiḥ,nīca,nīca,PIM
mega09,6,saha,saha,saha,
mega09,7,samāgamāt,samāgama,samāgama,SBM
mega09,8,madhyamaiḥ,madhyama,madhyama,PIM
mega09,9,madhya,madhya,madhya,Cp
mega09,10,tām,tā,tā,SAF
mega09,11,yāti,yā,yā,SPr3In
mega09,12,śreṣṭha,śreṣṭha,śreṣṭha,Cp
mega09,13,tām,tā,tā,SAF
mega09,14,yāti,yā,yā,SPr3In
mega09,15,ca,ca,ca,
mega09,16,uttamaiḥ,uttama,uttama,PIM
mega09,17,anīcaiḥ,anīca,anīca,PIM
mega09,18,na,na,na,
mega09,19,api,api,api,
mega09,20,aviṣayaiḥ,aviṣaya,aviṣaya,PIM
mega09,21,na,na,na,
mega09,22,adharmiṣṭhaiḥ,adharmiṣṭha,adharmiṣṭha,PIM
mega09,23,viśeṣataḥ,viśeṣataḥ,viśeṣataḥ,
mega09,24,ye,yad,yad,PNM
mega09,25,guṇāḥ,guṇa,guṇa,PNM
mega09,26,kīrtitāḥ,kīrtay,kīrtay,PNPaM
mega09,27,loke,loka,loka,SLM
mega09,28,dharma,dharma,dharma,Cp
mega09,29,kāma,kāma,kāma,Cp
mega09,30,artha,artha,artha,Cp
mega09,31,saṃbhavāḥ,sambhava,sambhava,PNM
mega09,32,loka,loka,loka,Cp
mega09,33,ācāra,ācāra,ācāra,Cp
mega09,34,ātma,ātman,ātman,Cp
mega09,35,saṃbhūtāḥ,sambhū,sambhū,PNPaM
mega09,36,veda,veda,veda,Cp
mega09,37,uktāḥ,vac,ukta,PNPaM
mega09,38,śiṣṭa,śās,śās,PaCp
mega09,39,saṃmatāḥ,samman,samman,PNPaM
mega09,40,te,tad,tad,PNM
mega09,41,yuṣmāsu,tvad,yuṣmāka,PL
mega09,42,samastāḥ,samasta,samasta,PNM
mega09,43,ca,ca,ca,
mega09,44,vyastāḥ,vyasta,vyasta,PNM
mega09,45,ca,ca,ca,
mega09,46,eva,eva,eva,
mega09,47,iha,iha,iha,
mega09,48,sat,sat,sat,Cp
mega09,49,guṇāḥ,guṇa,guṇa,PNM
mega09,50,icchāmaḥ,iṣ,iṣ,PPr1In
mega09,51,guṇavat,guṇavat,guṇavat,SANe
mega09,52,madhye,madhya,madhya,SLNe
mega09,53,vastum,vas,vas,In
mega09,54,śreyaḥ,śreyas,śreyas,SANe
mega09,55,abhikāṅkṣiṇaḥ,abhikāṅkṣin,abhikāṅkṣin,PNM
