chunk,token_idx,S,L,M_surface,M_tags
mega02,1,katham,katham,katham,
mega02,2,dvādaśa,dvādaśan,dvādaśan,SNNe
mega02,3,varṣāṇi,varṣa,varṣa,PNNe
mega02,4,vane,vana,vana,SLNe
mega02,5,teṣām,tad,tad,PGM
mega02,6,mahātmanām,mahātman,mahātman,PGM
mega02,7,vyatīyuḥ,vyatī,vyatī,PPs3In
mega02,8,brāhmaṇa,brāhmaṇa,brāhmaṇa,Cp
mega02,9,śreṣṭha,śreṣṭha,śreṣṭha,SVM
mega02,10,śūrāṇām,śūra,śūra,PGM
mega02,11,ari,ari,ari,Cp
mega02,12,ghātinām,ghātin,ghātin,PGM
mega02,13,katham,katham,katham,
mega02,14,ca,ca,ca,
mega02,15,rāja,rājan,rājan,Cp
mega02,16,putrī,putrī,putrī,SNF
mega02,17,sā,tad,tad,SNF
mega02,18,pravarā,pravara,pravara,SNF
mega02,19,sarva,sarva,sarva,Cp
mega02,20,yoṣitām,yoṣit,yoṣit,PGF
mega02,21,pativratā,pativratā,pativratā,SNF
mega02,22,mahābhāgā,mahābhāga,mahābhāga,SNF
mega02,23,satatam,satatam,satatam,
mega02,24,satya,satya,satya,Cp
mega02,25,vādinī,vādin,vādin,SNF
mega02,26,vana,vana,vana,Cp
mega02,27,vāsam,vāsa,vāsa,SAM
mega02,28,aduḥkha,aduḥkha,aduḥkha,Cp
mega02,29,arhā,arha,arha,SNF
mega02,30,dāruṇam,dāruṇa,dāruṇa,SAM
mega02,31,pratyapadyata,pratipad,pratipad,S3ImIn
mega02,32,etat,etad,etad,SANe
mega02,33,ācakṣva,ācakṣ,ācakṣ,S2ImIn
mega02,34,me,mad,mad,SG
mega02,35,sarvam,sarva,sarva,SANe
mega02,36,vistareṇa,vistara,vistara,SIM
mega02,37,tapodhana,tapodhana,tapodhana,SVM
mega02,38,śrotum,śru,śru,In
mega02,39,icchāmi,iṣ,iṣ,SPr1In
mega02,40,caritam,carita,carita,SANe
mega02,41,bhūri,bhūri,bhūri,Cp
mega02,42,draviṇa,draviṇa,draviṇa,Cp
mega02,43,tejasām,tejas,tejas,PGM
mega02,44,kathyamānam,kathay,kathay,SAPaPrNePv
mega02,45,tvayā,tvad,tvad,SI
mega02,46,vipra,vipra,vipra,SVM
mega02,47,param,para,para,SNNe
mega02,48,kautūhalam,kautūhala,kautūhala,SNNe
mega02,49,hi,hi,hi,
mega02,50,me,mad,mad,SG
